127.0.0.1, 2023-12-11 09:46:06, GET, /admin/static/_2.27.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.031045
127.0.0.1, 2023-12-11 09:46:06, GET, /admin/static/_2.27.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.037578
127.0.0.1, 2023-12-11 09:46:06, GET, /admin/static/_2.27.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.043581
127.0.0.1, 2023-12-11 09:46:06, GET, /admin/static/_2.27.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.028544
127.0.0.1, 2023-12-11 09:46:06, GET, /admin/static/_2.27.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.038588
127.0.0.1, 2023-12-11 09:46:06, GET, /admin/static/_2.27.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.027539
127.0.0.1, 2023-12-11 09:46:06, GET, /admin/static/_2.27.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.044576
127.0.0.1, 2023-12-11 09:46:06, GET, /admin/static/_2.27.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.034996
127.0.0.1, 2023-12-11 09:46:06, GET, /admin/static/_2.27.1/js/ajax_editor.js, HTTP/1.1, 200, 0.033996
127.0.0.1, 2023-12-11 09:46:06, GET, /admin/static/_2.27.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.038987
127.0.0.1, 2023-12-11 09:46:06, GET, /admin/static/_2.27.1/js/typeahead.min.js, HTTP/1.1, 200, 0.043989
127.0.0.1, 2023-12-11 09:46:06, GET, /admin/static/_2.27.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.072004
127.0.0.1, 2023-12-11 09:46:06, GET, /admin/static/_2.27.1/images/files_toggle.png, HTTP/1.1, 200, 0.010004
127.0.0.1, 2023-12-11 09:46:06, GET, /admin/static/_2.27.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.012006
127.0.0.1, 2023-12-11 09:46:06, GET, /favicon.ico, HTTP/1.1, 400, 0.001004
127.0.0.1, 2023-12-11 09:46:06, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.085539
127.0.0.1, 2023-12-11 09:46:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.136078
127.0.0.1, 2023-12-11 09:46:06, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.192214
127.0.0.1, 2023-12-11 09:46:06, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.238751
127.0.0.1, 2023-12-11 09:46:06, GET, /admin/static/_2.27.1/images/save_icon.png, HTTP/1.1, 200, 0.013002
127.0.0.1, 2023-12-11 09:46:06, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.292767
127.0.0.1, 2023-12-11 09:46:06, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.122098
127.0.0.1, 2023-12-11 09:46:14, GET, /admin/default/site, HTTP/1.1, 200, 0.033760
127.0.0.1, 2023-12-11 09:46:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2023-12-11 09:46:59, POST, /admin/default/site, HTTP/1.1, 303, 0.249180
127.0.0.1, 2023-12-11 09:47:00, GET, /admin/default/design/EscolarSystem, HTTP/1.1, 200, 0.765573
127.0.0.1, 2023-12-11 09:47:00, GET, /admin/static/_2.27.1/images/search.png, HTTP/1.1, 200, 0.011559
127.0.0.1, 2023-12-11 09:47:00, GET, /admin/static/_2.27.1/images/delete_icon.png, HTTP/1.1, 200, 0.008003
127.0.0.1, 2023-12-11 09:47:00, GET, /admin/static/_2.27.1/images/test_icon.png, HTTP/1.1, 200, 0.008003
127.0.0.1, 2023-12-11 09:47:00, GET, /admin/static/_2.27.1/images/help.png, HTTP/1.1, 200, 0.010006
127.0.0.1, 2023-12-11 09:47:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2023-12-11 09:49:18, GET, /EscolarSystem, HTTP/1.1, 200, 0.477062
127.0.0.1, 2023-12-11 09:49:18, GET, /EscolarSystem/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.007002
127.0.0.1, 2023-12-11 09:49:18, GET, /EscolarSystem/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.004999
127.0.0.1, 2023-12-11 09:49:18, GET, /EscolarSystem/static/css/calendar.css, HTTP/1.1, 200, 0.005008
127.0.0.1, 2023-12-11 09:49:18, GET, /EscolarSystem/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002999
127.0.0.1, 2023-12-11 09:49:18, GET, /EscolarSystem/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.046992
127.0.0.1, 2023-12-11 09:49:18, GET, /EscolarSystem/static/js/web2py.js, HTTP/1.1, 200, 0.050000
127.0.0.1, 2023-12-11 09:49:18, GET, /EscolarSystem/static/js/calendar.js, HTTP/1.1, 200, 0.062003
127.0.0.1, 2023-12-11 09:49:18, GET, /EscolarSystem/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.065548
127.0.0.1, 2023-12-11 09:49:18, GET, /EscolarSystem/static/js/jquery.js, HTTP/1.1, 200, 0.080555
127.0.0.1, 2023-12-11 09:49:18, GET, /EscolarSystem/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2023-12-11 09:49:18, GET, /EscolarSystem/static/images/favicon.ico, HTTP/1.1, 200, 0.002996
